Number;Start time in milliseconds;End time in milliseconds;"Text"
909;4218800;4219880;"I'll remember that."
910;4222360;4224920;"Look, just let him be."
911;4225600;4231040;"-He's probably in the zone.
-OK. I'll give him another 24 hours."
912;4231680;4233120;"[exhales]"
913;4250880;4252320;"[Haynes] <i>And how is your father?</i>"
914;4253760;4256560.0001;"He's visiting his sister.
She's in the South of France, so..."
915;4256640;4258680;"So you've been left to your own devices."
916;4259720;4260600;"Mm-hm."
917;4261400;4262240;"[clears throat]"
918;4265040;4267360;"[sawing]"
919;4270320;4271640;"It's been good actually."
920;4272800;4273920;"Not having him."
921;4275800;4278240;"<i>It's meant I could work</i>
<i>with a real sense of purpose.</i>"
922;4278320;4281960;"[gentle music plays]"
923;4282040;4284080;"<i>I've actually had a bit of breakthrough</i>
<i>with the game.</i>"
924;4285160;4290440;"<i>I think I'd got bogged down before</i>
<i>but now I can see.</i>"
925;4290520.0001;4292120;"[Haynes] <i>So you finally finished it?</i>"
926;4292480;4296160;"[Stefan] <i>Finished, delivered, everything.</i>"
927;4296240;4298840;"<i>I'd been trying to give the player</i>
<i>too much choice.</i>"
928;4299000;4301800;"<i>So I just went back</i>
<i>and stripped loads out.</i>"
929;4302600;4306000;"<i>And now they've got the illusion</i>
<i>of free will, but really...</i>"
930;4306480;4308080;"I decide the ending."
931;4310760;4312560.0001;"And is it a happy ending?"
932;4314080;4315080;"I think so."
933;4315920;4316920;"[Haynes] Then that's great."
934;4339840;4341680;"[TV jingle plays]"
935;4341760;4344560.0001;"So Bandersnatch? Yes or no?"
936;4344640;4347880;"Yes, yes, and yes.
It's got all the bases covered."
937;4347960;4349120;"The perfect game."
938;4349200;4351560.0001;"Well, that is a first.
So your rating is..."
939;4351640;4355320;"My rating is five stars out of five.
Magnificent."
940;4355640;4359760;"{\an8}That was the game Bandersnatch
being reviewed on TV back in 1984."
941;4359920;4362960;"{\an8}But shortly after its release,
a dark secret emerged."
942;4363040;4366560.0001;"<i>Its author Stefan Butler was discovered</i>
<i>to have murdered his own father.</i>"
943;4366640;4369120;"<i>The game was pulled from shelves</i>
<i>and all the copies were pulped.</i>"
944;4369200;4371600;"<i>Now, in a move that's bound</i>
<i>to cause controversy,</i>"
945;4371680;4374600;"<i>a new coder wants to reboot the game</i>
<i>for a new generation.</i>"
946;4374680;4377000;"{\an8}My dad was a coder himself
back in the day,"
947;4377080;4379320;"{\an8}and I found Stefan's game in an old crate,"
948;4379400;4383600;"<i>I ran it on an emulator, RetroArch.</i>
<i>And I found it really ground-breaking.</i>"
949;4383680;4385320;"<i>I can see why people think</i>
<i>it's controversial</i>"
950;4385400;4387000;"<i>to be remaking it today,</i>"
951;4387080;4389520.0001;"<i>but the free will concept is fascinating.</i>"
952;4389600;4394280;"Today, interactive stories of this kind
are available on your TV, or laptop,"
953;4394360;4397560.0001;"your phone, so I'm developing this
for streaming TV platforms."
954;4398160;4400560.0001;"[interviewer]
<i>There's a rumour that platform is Netflix.</i>"
955;4400640;4402960;"I'm not allowed to talk about rumours."
956;4406120;4408520.0001;"[telephone rings]"
957;4436920;4439640;"["Relax" playing]"
958;4439720;4441320;"[gasps]"
959;4441400;4445320;"<i>♪ Relax, don't do it</i>
<i>When you want to go to it ♪</i>"
960;4446920;4448400;"Oh, fuck!"
961;4480040;4481000;"[door closes]"
962;4487520.0001;4488480;"[door closes]"
963;4495160;4496120;"[door closes]"
964;4502640;4503600;"[door closes]"
965;4510160;4511120;"[door closes]"
966;4517680;4518640;"[door closes]"
967;4525040;4525880;"[door closes]"
968;4526720;4528000;"["Relax" playing]"
969;4529920;4534160;"Would you like to talk
about what happened with your mother?"
970;4534720;4536440;"[Stefan] <i>I couldn't find Rabbit anywhere.</i>"
971;4536520.0001;4538400;"-Are you coming or not?
-No!"
972;4538600;4540760;"<i>The 8:45 train derailed...</i>"
973;4541200;4543600;"-He should've stopped playing with dolls.
-It's not a doll."
974;4543680;4545760;"Sorry, look, I am going to do
something about this."
975;4549440;4550760;"[door slams]"
976;4581560.0001;4583520.0001;"-[door slams]
-[locking]"
977;4663600;4664440;"[beeps]"
978;4669080;4672160;"[whirring]"
979;4679520.0001;4680360;"[beeps]"
980;4684400;4685720;"-[beeps]
-[whirring]"
981;4696360;4697440;"[dad] Stefan?"
982;4705240;4706880;"What are you doing in here?"
983;4714560.0001;4716120;"You went looking for him."
984;4719080;4720040;"Go on."
985;4721680;4722520.0001;"Take him."
986;4723360;4726120;"You put him back where he belongs."
987;4727080;4728080;"Come."
988;4759440;4761160;"[mum] You don't need him."
989;4761960;4763520.0001;"We can look for Rabbit tomorrow."
990;4763600;4765240;"Found him!"
991;4767480;4768440;"Great!"
992;4769320;4772440;"OK, well, we're going to miss the 8:30."
993;4772520.0001;4774960;"We'll have to take the 8:45.
Should be fine."
994;4776040;4778520.0001;"Well, are you coming?"
995;4790400;4792400;"["O Superman" begins playing]"
996;4796480;4798480;"♪ <i>So hold me, mom ♪</i>"
997;4800840;4801760;"Bye."
998;4803000;4805000;"♪ <i>In your long arms ♪</i>"
999;4810840;4813280;"♪ <i>So hold me, mom ♪</i>"
1000;4817600;4819600;"♪ <i>In your long arms ♪</i>"
1001;4825360;4827360;"<i>♪ In your automatic arms ♪</i>"
1002;4833480;4835480;"<i>♪ Your electronic arms ♪</i>"
1003;4836880;4838880;"<i>♪ In your arms ♪</i>"
1004;4840680;4841640;"He's dead."
1005;4843880;4847440;"I don't understand.
He was just sitting there."
1006;4847840;4851720;"We were talking.
He closed his eyes for a few moments."
1007;4851800;4853640;"He just closed his eyes."
1008;4854120;4856360;"All he did was close his eyes."
1009;4857280;4858760;"I'm sorry."
1010;4863160;4865120;"[sobs]"
1011;4873480;4874760;"[beeps]"
1012;4876920;4878200;"[beeps]"
1013;4881000;4882280;"[beeps]"
1014;4885120;4886400;"[beeps]"
1015;4888520.0001;4889800;"[beeps]"
1016;4892840;4894120;"[beeps]"
1017;4896520.0001;4897800;"[beeps]"
1018;4900200;4901040;"[beeps]"
1019;4901880;4903160;"["Relax" playing]"
1020;4904160;4905200;"[Stefan] Colin Ritman?"
1021;4906160;4907680;"-We've met before.
-Fuck off!"
1022;4907760;4910200;"-My head is all over the place.
-You're in the hole."
1023;4910280;4911760;"The government monitors people,"
1024;4911880;4913880;"they pay people to pretend
to be your relatives"
1025;4913960;4915200;"and they put drugs in your food."
1026;4915280;4917840;"Do you know what PAC stands for?
"Program and Control"."
1027;4917920;4921360;"It's a fucking nightmare world.
It's real and we live in it."
1028;4921440;4923480;"-[door slams]
-[locking]"
1029;4934600;4935440;"[keys jangle]"
1030;4949960;4950800;"[beeps]"
1031;4954440;4956920;"-[beeps]
-[whirring]"
1032;5029200;5031200;"[heart beating]"
1033;5075560.0001;5076520.0001;"[door opens]"
1034;5087040;5089840;"Come on, Stefan. Come on."
1035;5092960;5095760;"-You can find Rabbit later.
-[echoes] No!"
1036;5097320;5099080;"Stefan, please come with me."
1037;5099720;5100760;"[echoes] No!"
1038;5120000;5121800;"You weren't supposed to know."
1039;5124520.0001;5126000;"Dad, what is this?"
1040;5127880;5128880;"I'm sorry."
1041;5129600;5131360;"Dad, who are you?"
1042;5134600;5136120;"Talk to me."
1043;5137600;5139320;"Talk to me!"
1044;5147400;5149560.0001;"-[thuds]
-[gasps]"
1045;5153080;5154560.0001;"Who's doing this to me?"
1046;5155840;5157320;"I know there's someone there."
1047;5159160;5162560.0001;"Who's there? Who are you?"
1048;5165040;5166840;"Just give me a sign."
1049;5168360;5170800;"Oh, come on. If there's someone there,
just give me a sign."
1050;5170880;5172200;"Will you give me a sign?"
1051;5172720;5176160;"I know there's someone there.
Just give me a fucking sign!"
1052;5180360;5181280;"[beeps]"
1053;5195520.0001;5196600;"What's wrong?"
1054;5210800;5212800;"Stefan, what's wrong?"
1055;5213360;5215000;"I know you've been controlling me."
1056;5215920;5220040;"You and Haynes.
I know about PACS, the P.A.C.S. thing."
1057;5221480;5224280;"I know you've been drugging me,
I know you've been recording me"
1058;5224360;5226560.0001;"and now you're putting messages
on my computer."
1059;5226640;5229640;"Stefan, you're ill."
1060;5229720;5232600;"We need to go and see Dr. Haynes
and see if she can help."
1061;5235120;5236560.0001;"I know what you've been doing to me."
1062;5238520.0001;5239480;"I know."
1063;5248600;5250640;"[Haynes]
<i>Remember, Stefan. Any time you need me.</i>"
1064;5251440;5252600;"You know the number."
1065;5256920;5259280;"-You heard it here first.
-Get a pen."
1066;5259800;5261960;"If you listen closely,
you can hear the numbers."
1067;5262400;5264960;"-Too?
-Good to be true."
1068;5265400;5266520.0001;"<i>You sound like my dad.</i>"
1069;5266920;5267800;"Oh."
1070;5268360;5269440;"<i>Five.</i>"
1071;5270520.0001;5271920;"You were five years old."
1072;5272000;5275520.0001;"-One for all, and all...
-For one."
1073;5275600;5277920;"<i>Remember, Stefan.</i>
<i>Any time you need me.</i>"
1074;5278480;5279560.0001;"<i>You know the number.</i>"
1075;5280240;5283520.0001;"Number? What's the number?"
1076;5284040;5286240;"<i>Two. Oh. Five.</i>"
1077;5286320;5287360;"Four, one."
1078;5289760;5290840;"Remember."
1079;5291360;5295240;"-[Haynes] <i>Two. Oh. Five.</i>
-[Stefan] <i>Four, one.</i>"
1080;5316800;5318480;"[phone line ringing]"
1081;5320960;5322080;"[telephone rings]"
1082;5323080;5324040;"Dr. Haynes office."
1083;5324520.0001;5325480;"Is she there?"
1084;5325560.0001;5327720;"Dr. Haynes?
No, she's at her sister's wedding."
1085;5327800;5330040;"She's back tomorrow.
Can I take a message?"
1086;5331680;5334880;"Tell her that Stefan Butler called."
1087;5335440;5338040;"Stefan Butler..."
1088;5338120;5341440;"And I know about Program and Control."
1089;5341880;5344920;"-I'm sorry?
<i>-I know they've been monitoring me.</i>"
1090;5345840;5348120;"I know what they've been up to.
Her and Dad."
1091;5349800;5352200;"The Program and Control Study."
1092;5353080;5355400;"I'm sorry, I don't understand."
1093;5355480;5357320;"They're monitoring me now, aren't they?"
1094;5360320;5363840;"Tell her I've killed Dad
and I'm gonna kill her next."
1095;5363960;5365920;"-Is this...
-Fuck off."
1096;5390600;5393000;"[distant sirens]"
1097;5397760;5400960;"[video game theme plays]"
1098;5408600;5411280;"So Bandersnatch? Yay or nay?"
1099;5411360;5413320;"Well, nothing in the game
is as fascinating"
1100;5413400;5415640;"as its grisly real-life backstory."
1101;5415720;5418520.0001;"As you know, Leslie, Stefan Butler,
the young man who wrote this,"
1102;5418600;5420960;"had a breakdown
and murdered his own father."
1103;5421040;5421960;"[woman] <i>Yes, very sad.</i>"
1104;5422040;5424400;"<i>And it seems the code</i>
<i>was never quite finished</i>"
1105;5424480;5426280;"<i>but Tuckersoft just released</i>
<i>the game anyway.</i>"
1106;5426360;5428320;"<i>Which I know isn't a crime</i>
<i>on a par with murder</i>"
1107;5428400;5430200;"<i>but it's still pretty off nonetheless.</i>"
1108;5430280;5431920;"[woman] <i>Quite. So your verdict?</i>"
1109;5432000;5435840;"<i>Two and a half stars out of five.</i>
<i>It's morbid curiosity value at best.</i>"
1110;5435920;5437200;"<i>Must try harder.</i>"
1111;5448400;5449720;"-[dog barks]
-[dad] Oi!"
1112;5453640;5455280;"Get back next door!"
1113;5456840;5458840;"The bloody hound from next door."
1114;5459360;5460200;"Go on."
1115;5461240;5462640;"Be the death of us."
1116;5504840;5506840;"["Here Comes The Rain Again" playing]"
1117;5506960;5510240;"<i>♪ I want to breathe in the open wind ♪</i>"
1118;5510680;5514200;"<i>♪ I want to kiss like lovers do ♪</i>"
1119;5514280;5517240;"<i>♪ Want to dive into your ocean ♪</i>"
1120;5517320;5520240;"<i>♪ Is it raining with you? ♪</i>"
1121;5520320;5523840;"<i>♪ So baby talk to me ♪</i>"
1122;5525200;5527680;"<i>♪ Like lovers do ♪</i>"
1123;5529520.0001;5531800;"<i>♪ Walk with me ♪</i>"
1124;5531880;5532880;"Hello, Tuckersoft."
1125;5532960;5533960;"<i>♪ Like lovers do ♪</i>"
1126;5534040;5537000;"[Thakur] Oh, beautiful. Nice one, Satpal."
1127;5537080;5542760;"Alright, fetch us 20 B&H,
would you? And Lion bar. Good boy."
1128;5543800;5547360;"Ah. You... are... Steven."
1129;5547440;5548800;"-Stefan.
-Stefan, sorry, mate."
1130;5548880;5550000;"That's alright, I get it all the time."
1131;5550080;5552240;"Sorry about the chaos.
We just moved in Monday."
1132;5553000;5554160;"It's big."
1133;5554240;5556640;"Well, expansion, that's my plan."
1134;5556720;5560280;"Imagine, OK,
a whole team just for graphics,"
1135;5560680;5562680;"another for sound, for gameplay."
1136;5562760;5567000;"We're going to be a hit factory.
Like Motown but for computer games."
1137;5567360;5568920;"You heard it here first."
1138;5572200;5573480;"That's Colin's new one."
1139;5575240;5578240;"-Colin Ritman?
-That's him over there."
1140;5580360;5582440;"That's crazy.
I've played all of his games."
1141;5582520.0001;5583600;"Let's say hello."
1142;5583680;5587680;"-Sure he won't mind, he's working?
-He'll be fine. He'll be fine. Shh! Shh!"
1143;5588920;5589760;"Wait, wait, wait."
1144;5592240;5595080;"What's this, Kajagoogoo? [laughs]"
1145;5596400;5597400;"You wish."
1146;5597760;5600840;"State of him, he's made enough
this year to buy a Lamborghini"
1147;5600920;5602680;"and he still smokes roll-ups."
1148;5602760;5606440;"Yeah, well, pre-rolled have strychnine
in them, so the joke's on him."
1149;5607880;5610120;"Anyway, this is Stefan, er..."
1150;5610200;5611560.0001;"Butler, Butler."
1151;5614480;5615720;"I'm Colin, yeah."
1152;5616440;5619240;"Yeah, I've played all of your games.
All of them."
1153;5619320;5622640;"Except the Commodore ones,
I don't have a Commodore."
1154;5624760;5626960;"-Great sound chip, the Commodore.
-Mm-hm."
1155;5627040;5627880;"Yeah."
1156;5629480;5630800;"This is my latest."
1157;5635880;5637720;"-It's called Nohzdyve.
-[beeps]"
1158;5643240;5646720;"-The sprites are so smooth.
-That took some doing."
1159;5648440;5649320;"[beeps]"
1160;5649640;5651040;"Oh, bollocks."
1161;5651120;5653800;"-What's that?
-It's a buffer error."
1162;5653960;5656520.0001;"The eyeballs have overrun
the video memory, and--"
1163;5656600;5659600;"Oh, yeah, yeah, video memory, yeah.
I was gonna say that."
1164;5659720;5661640;"Anyway, listen,
let's get down to business."
1165;5661800;5663880;"Stefan's got something to demo for us."
1166;5665360;5666680;"Bloody hell."
1167;5667800;5670440;"So it's like 3D Monster Maze?"
1168;5670840;5672640;"Only when you're moving
from choice to choice."
1169;5672720;5676040;"-It's actually an adventure game.
-Like<i> The Hobbit.</i>"
1170;5676120;5679040;"Yes, but without any typing."
1171;5679120;5682720;"Without any typing?
So no "get lamp" or whatever?"
1172;5683360;5684200;"That's right."
1173;5687040;5689280;"-[chuckles]
-[video game beeps]"
1174;5691880;5695000;"[Stefan] Choices come up on the screen
and you pick one against the clock."
1175;5696280;5699160;"OK, he's Pax, he's the demon.
He's in the book."
1176;5699240;5701040;"So we've actually arrived
at a choice point,"
1177;5701120;5702960;"and then you can choose with the joystick."
1178;5703040;5704000;"You've got ten seconds."
1179;5705240;5706200;"Worship him."
1180;5706280;5709920;"No, don't do that, he's the
Thief of Destiny, in the book, I mean."
1181;5711080;5713520.0001;"Got a copy of this at home.
Never got around to reading it."
1182;5714080;5716440;"You should.
Jerome F. Davies was a genius."
1183;5717320;5719160;"Didn't he go bonkers
and cut his wife's head off?"
1184;5719240;5721240;"-Yeah, but I mean, apart from that--
-Excuse me."
1185;5725560.0001;5726600;"What's happened?"
1186;5727080;5729040;"Well, I haven't programmed
that pathway yet."
1187;5729160;5730160;"Lot of paths then?"
1188;5731560.0001;5734760;"Well, yeah,
if it's going to be like the book."
1189;5735040;5737200;"So, come on.
How do you want to go about this?"
1190;5738920;5742160;"-You're... you're interested?
-That's what I'm saying."
1191;5742240;5744880;"OK, it's July now,
so if we want to hit Christmas,"
1192;5744960;5746960;"then we'll need the tapes in Smiths
by November."
1193;5747640;5751400;"OK. So here's my proposal.
Come and write it here."
1194;5752600;5753720;"-Here?
-Yeah!"
1195;5754120;5757480;"We'll give you a couple of desks,
set up a small team, just for you."
1196;5758000;5759640;"And of course Col's on hand."
1197;5760160;5761160;"What do you reckon?"
1198;5762760;5764920;"Oh, and hey,
I'm hiring this sound chip guy next week,"
1199;5765000;5767920;"so music we can take care of.
All in-house."
1200;5768000;5770200;"So, come on. What's your answer?"
1201;5775360;5777000;"["Relax" playing]"
1202;5777080;5778400;"<i>♪ Relax, don't... ♪</i>"
1203;5783240;5784400;"Breakfast?"
1204;5785200;5786880;"-Your Bander-what?
-Bandersnatch."
1205;5786960;5789520.0001;"-It's a "Choose Your Own Adventure" book.
-That bloody hound from next door!"
1206;5789600;5790520.0001;"Be the death of us."
1207;5793240;5794640;"["Here Comes The Rain Again" playing]"
1208;5795160;5798680;"<i>♪ I want to breathe in the open wind ♪</i>"
1209;5798760;5800080;"<i>♪ I want to kiss like... ♪</i>"
1210;5800160;5802080;"We're going to be a hit factory."
1211;5802160;5805160;"Colin Ritman? That's crazy.
I've played all of his games."
1212;5805240;5808240;"State of him, he's made enough
this year to buy a Lamborghini"
1213;5808320;5810240;"and he still smokes roll-ups."
1214;5815640;5818400;"-We've met before.
-No."
1215;5821320;5822840;"This is what I'm working on."
1216;5824240;5827640;"-Nohzdyve.
-Yeah. That's right."
1217;5833960;5835120;"[Colin] Oh, bollocks."
1218;5835200;5836880;"-What's that?
-Buffer error."
1219;5838600;5841760;"Those eyeball sprites overshot
the video memory."
1220;5843240;5844440;"How did you know that?"
1221;5845600;5848280;"-Just did.
-Bloody hell, he's good, right?"
1222;5848760;5853200;"Anyway, let's get down to business.
Stefan's got something to demo for us."
1223;5855080;5857720;"[Stefan] You choose with the joystick.
See. You've got ten seconds."
1224;5858280;5860120;"Don't worship him,
he's the Thief of Destiny."
1225;5860760;5863680;"-You've read<i> Bandersnatch?</i>
-Jerome F. Davies. Visionary."
1226;5863800;5866280;"Was he that bloke who went cuckoo
and cut his wife's head off?"
1227;5866800;5868520.0001;"That is what people tend to focus on, yes."
1228;5868600;5871280;"Which ending did you get?
When you read it."
1229;5871360;5872720;"-All of them.
-Excuse me."
1230;5877080;5879920;"-What's happened?
-I haven't programmed that path yet."
1231;5880000;5882280;"Right. So, a lot of paths then?"
1232;5882720;5885000;"Well, yes,
if it's going to be like the book."
1233;5885080;5886680;"A lot of divergent realities in that book."
1234;5887080;5890560.0001;"It was ahead of its time.
In as much as time exists."
1235;5891960;5896080;"OK. So here's my proposal.
Come and write it here."
1236;5897160;5898000;"Here?"
1237;5898080;5900640;"We'll give you a couple of desks,
set up a small team, just for you."
1238;5900720;5901840;"And of course Col's on hand."
1239;5902720;5903720;"What do you reckon?"
1240;5905200;5907400;"Oh, and hey,
I'm hiring this sound chip guy next week,"
1241;5907480;5909560.0001;"so music we can take care of.
All in-house."
1242;5910120;5912320;"So, come on. What's your answer?"
1243;5915120;5916080;"No."
1244;5922560.0001;5928760;"I mean, yes, I want to do your game.
I just... I just think I need to..."
1245;5932680;5935880;"I need to write it how I know."
1246;5937280;5939480;"You know, just me. At home."
1247;5940080;5942160;"At home. On your own?"
1248;5942760;5944960;"Yeah, it's just that it's all in my head,"
1249;5945040;5949040;"and I think if I let other people in,
it'll just get, I don't know, stressy?"
1250;5949280;5950800;""Stressy"?"
1251;5951840;5957440;"But I know that I can do it
proper justice. The book."
1252;5958280;5961640;"You know, divergent story paths.
Parallel realities."
1253;5961720;5964400;"-It's still a game though, yeah?
-I get it."
1254;5965040;5966280;"The lad's a craftsman."
1255;5967320;5969280;"He's a lone woodsman. I'm the same."
1256;5969360;5971280;"-Yeah, but...
-It's like I say,"
1257;5972080;5973920;"teams are fine
for things like action titles,"
1258;5974000;5975800;"but when it's a concept piece,"
1259;5976600;5980600;"bit of madness is what you need
and that works best when it's one mind."
1260;5980680;5983480;"Alright, Timothy Leary, we'll debate
<i>The Doors of Perception</i> later--"
1261;5983560.0001;5984960;"That was Huxley, not Leary."
1262;5985040;5986400;"[Thakur]
If you're going to write this on your tod,"
1263;5986480;5988400;"the important thing is
putting it out for Christmas,"
1264;5988480;5990920;"so I'll need finished code
by 12th September."
1265;5991000;5993000;"-OK, sure.
-But no later."
1266;6001520.0001;6002720;"What do you listen to?"
1267;6004920;6006480;"To get in to the flow."
1268;6008360;6009520.0001;"Oh, music?"
1269;6012560.0001;6015400;"Er, compilations mainly."
1270;6016760;6017760;"Get a pen."
1271;6019440;6020440;"[microwave beeps]"
1272;6022720;6023880;"I'm defrosting mince."
1273;6029120;6031400;"It's like alien technology this thing."
1274;6032480;6035840;"Oh. How... how did it go?"
1275;6037600;6039880;"Good. Yeah, really good."
1276;6041880;6043080;"They're taking it."
1277;6043160;6044680;"Oh, well, that's great, isn't it?"
1278;6046480;6049000;"-Well done, mate.
-You've got mince juice on your hands."
1279;6050840;6051680;"Yes."
1280;6054920;6060040;"So, how does it work then?
Do you go into their office, or...?"
1281;6060120;6061480;"No, I write it here."
1282;6062040;6065080;"-On your own?
-Yes."
1283;6069640;6070680;"And..."
1284;6071480;6074640;"Is that the best way
to work on something like this?"
1285;6074720;6075880;"Why wouldn't it be?"
1286;6076320;6078880;"[woman on TV] <i>Well, the graphics</i>
<i>are certainly impressive, Robin,</i>"
1287;6078960;6082000;"<i>but the big question is,</i>
<i>what's it like to play?</i>"
1288;6082080;6085160;"<i>Well, the gameplay is just as impressive,</i>
<i>I must say.</i>"
1289;6085240;6087680;"<i>This is a Colin Ritman game,</i>
<i>so we'd expect little else,</i>"
1290;6087760;6091560.0001;"<i>but even by his standards</i>
<i>this is really most impressive.</i>"
1291;6091640;6094400;"<i>It's challenging,</i>
<i>there's quite a big learning curve,</i>"
1292;6094480;6098600;"<i>so you die a lot and have to try again</i>
<i>but I really didn't mind that much.</i>"
1293;6098680;6101680;"<i>So it sounds great</i>
<i>but what's your verdict, Robin?</i>"
1294;6101760;6104400;"<i>Four stars out of five.</i>
<i>Colin Ritman does it again.</i>"
1295;6104480;6107280;"-[woman] <i>So not quite perfect.</i>
<i>-Well, nothing's perfect.</i>"
1296;6111840;6114480;"So there I am, there's Colin Ritman--"
1297;6114560.0001;6117400;""The actual Colin Ritman,"
I believe you called him."
1298;6117840;6123520.0001;"Yeah, exactly, and Mr. Thakur's
offering me the chance to work there"
1299;6123600;6126760;"in their own office alongside Colin."
1300;6128520.0001;6129400;"And I just..."
1301;6131240;6134600;"-I don't know. It was too...
-Too?"
1302;6135120;6136320;"Good to be true."
1303;6138400;6141120;"-I said no.
-You said "no"?"
1304;6141840;6143240;"Well, not to the whole thing,"
1305;6143320;6145880;"just to working there
and being under their control."
1306;6146640;6147800;"I don't know where it came from,"
1307;6147880;6149920;"I just said "no"
and then had to justify it"
1308;6150000;6152120;"by saying that I prefer to work alone."
1309;6153840;6156760;"But I just don't know
where the urge to say it came from."
1310;6157640;6161400;"It sounds like you're growing
in confidence. I think it's a good sign."
1311;6162720;6165360;"Well, they're still letting me
do the game, so..."
1312;6165440;6169680;"Well done, Stefan. That's great."
1313;6171680;6173080;"You sound like my dad."
1314;6178080;6179000;"Oh."
1315;6181360;6182320;"Sorry."
1316;6183840;6185800;"He gets on my nerves sometimes."
1317;6186480;6189760;"Like this... I'm fine now,"
1318;6190600;6194560.0001;"I don't see why I need
to keep coming to these sessions."
1319;6197360;6200720;"It just feels like being,
I don't know, monitored."
1320;6202360;6206760;"Perhaps you're feeling intruded upon
because of the anniversary looming."
1321;6207640;6211560.0001;"It's a difficult time of year for you.
We can't underestimate that."
1322;6214000;6217800;"Would you like to talk
about what happened with your mother?"
1323;6219880;6225880;"It can be helpful to revisit things.
Even if you feel you've done this before."
1324;6227160;6230760;"You might discover something new."
1325;6240320;6241280;"[pulls handbrake]"
1326;6260040;6262720;"[Colin] <i>The government put drugs</i>
<i>in your food and they film you.</i>"
1327;6317800;6322040;"We can't dupe them fast enough.
Everybody wants a bit of Colin Ritman."
1328;6322120;6323040;"[chuckles]"
1329;6323120;6326200;"-Where is Colin?
-God knows. He's gone AWOL."
1330;6326280;6329160;"He hasn't come in, answered his phone.
Par for the course from him."
1331;6329240;6331440;"Probably fucked off to Amsterdam
for a spot of gardening."
1332;6331520.0001;6334040;"He'll be back, he always is.
Anyway, come on."
1333;6344120;6347760;"Looking good.
Good thing I doubled on the advertising."
1334;6354280;6355960;"-That's not...
-[sighs]"
1335;6356040;6358760;"Stefan, mate. This is due today.
You said it was stable."
1336;6358840;6360840;"-It was, I just--
-Just what?"
1337;6361240;6362440;"I added in a new path,"
1338;6362520.0001;6365200;"the government conspiracy branch,
I thought I'd tied up all the loose ends."
1339;6365280;6366600;"If it's something you've added,
let's just take it out."
1340;6366680;6368920;"-No, it's important.
-Stefan, mate."
1341;6369480;6371040;"The deadline is today."
1342;6371120;6374640;"I just need the weekend.
I know I can squeeze this path in."
1343;6374720;6377360;"-It's complicated enough.
-Just the weekend. Please."
1344;6381040;6382720;"-First thing Monday.
-First thing."
1345;6382800;6386400;"OK. Shit, I've got to run,
meeting the John Menzies guys."
1346;6387120;6390840;"Just don't fuck up.
There's a lot riding on this now."
1347;6390920;6391920;"I know."
1348;6393600;6394440;"[door closes]"
1349;6395160;6396320;"[door opens]"
1350;6397720;6400760;"Er... Colin wanted me to give you this."
1351;6402160;6403240;"What is it?"
1352;6403320;6405840;"He said he taped it off the telly,
to inspire you."
1353;6409080;6411800;"-[Stefan] Do you know where Colin is?
-No. Sorry."
1354;6438760;6440320;"You having a film night?"
1355;6448160;6450800;"[TV jingle]"
1356;6450880;6454200;"<i>-They're great!</i>
<i>-Kellogg's Frosties.</i>"
1357;6459400;6460760;"[man on TV] <i>Towards the end of his life,</i>"
1358;6460840;6465520.0001;"<i>Davies was apparently self-administering</i>
<i>hallucinogens on a daily basis.</i>"
1359;6465600;6467480;"<i>This, coupled with his attempts</i>"
1360;6467560.0001;6470680;"<i>to complete the complex multiple</i>
<i>narratives of</i> Bandersnatch"
1361;6470760;6472720;"<i>was to prove the final straw.</i>"
1362;6473600;6475520.0001;"<i>He became obsessed</i>
<i>with bizarre symbols</i>"
1363;6475600;6478320;"<i>and the limitations</i>
<i>of his own free will.</i>"
1364;6478760;6482360;"<i>In his notes,</i>
<i>Davies repeatedly sketched a glyph</i>"
1365;6482440;6487640;"<i>which to him represented multiple fates,</i>
<i>potential realities splitting in two.</i>"
1366;6488560.0001;6492440;"<i>It was the start</i>
<i>of his complete mental collapse.</i>"
1367;6492600;6496040;"<i>Davies became convinced</i>
<i>he had no control over his fate</i>"
1368;6496120;6499440;"<i>because his wife was spiking him</i>
<i>with psychoactive drugs</i>"
1369;6499520.0001;6504160;"<i>at the behest of a demon called Pax,</i>
<i>a sort of lion figure,</i>"
1370;6504240;6506000;"<i>he claimed he'd seen in a vision,</i>"
1371;6506080;6508640;"<i>and who ended up</i>
<i>being incorporated into the book.</i>"
1372;6511680;6514040;"<i>It was this that led him to kill her.</i>"
1373;6514840;6519360;"<i>He decapitated her and daubed the</i>
<i>glyph symbol on the walls with her blood.</i>"
1374;6521640;6523280;"<i>After his arrest, he told police</i>"
1375;6523800;6527040;"<i>we exist within</i>
<i>multiple parallel realities at once.</i>"
1376;6528000;6532400;"<i>One reality for each possible course</i>
<i>of action we might take in life.</i>"
1377;6533280;6535520.0001;"<i>Whatever we choose to do</i>
<i>in this existence,</i>"
1378;6535600;6538880;"<i>there’s another one out there</i>
<i>in which we’re doing quite the opposite,</i>"
1379;6538960;6543680;"<i>which renders free will meaningless.</i>
<i>Nothing but an illusion.</i>"
1380;6571000;6573040;"[Colin] <i>Mirrors let you move through time.</i>"
1381;6628600;6630680;"[mum] Yes, and so what, Rabbit is a toy."
1382;6631160;6633080;"[dad]
<i>A baby's toy that he takes everywhere.</i>"
1383;6633160;6634000;"[mum] <i>He's five.</i>"
